sentence1	sentence2	label
ofo app近日推出了小游戏功能 被外界猜测似乎要通过游戏增加收入实现盈利 ofo官方表示 小游戏功能目前处于测试阶段 主要为增强用户粘性 目前没有通过游戏实现盈利的计划	新浪科技在ofo app看到 ofo在新奇栏目增加了一个小游戏功能 目前上线了一款名为 天使的蛋生beta 的养成类游戏 这让外界联想到ofo似乎要通过游戏来增加收入实现盈利	0
近期 国内股市出现明显回调 部分a股投资者产生担忧情绪和避险心理 其实 市场短期波动呈现出不确定性很正常 投资预期下降可以理解 但投资者完全没必要过度悲观甚至恐慌 今年上半年 我国经济运行平稳 供给侧结构性改革成效持续显现 表现为成本下降和杠杆率降低 作为经济的 晴雨表 股市不存在长期大幅下跌的基础 经济日报	当前中国经济基本面良好 金融风险总体可控 转型升级加快推进 国际收支稳定 跨境资本流动大体平衡 经济进入高质量发展阶段 从国家统计局服务业调查中心和中国物流与采购联合会发布的中国采购经理指数看 今年上半年 我国经济运行平稳 供给侧结构性改革成效持续显现 表现为成本下降和杠杆率降低 作为经济的 晴雨表 股市不存在长期大幅下跌的基础 阅读电子报	1
联化科技4日公告 半年报业绩预期变动幅度由 30 至0 下修至比上年同期下降70 100 预计盈利0万元至 5 053 93万元 下调原因为子公司因环保原因停产	联化科技 下调业绩预期 上半年净利预降70 100 联化科技4日晚发布业绩预告修正公告 公司此前预计上半年净利1 18亿至1 68亿元 同比变动幅度为 30 至0 修正后 预计上半年净利为0万元至5054万元 同比下降70 100 子公司江苏联化科技和联化科技 盐城	1
7月2日上午 上海研制生产的首批5 5吋全高清固定曲面柔性amoled手机屏 在位于金山区的和辉光电一期厂房实现量产出货 打破了韩国三星等国外企业在该项目上的技术垄断 同时 和辉光电第6代amoled显示项目生产设备也进入安装调试阶段 计划于2019年初投入试生产	机构调研聚焦oled板块 财联社6月4日讯 数据显示 截至3日记者发稿 沪深两市共有108家公司披露了上周 5月28日至6月1日 的机构调研记录 随着oled 黑牛食品方面在调研活动中表示 公司将把握amoled行业快速发展的机遇期 目前专注于中小尺寸面板 并持续提供符合市场需求的产品 上海证券报	0
业绩增长是上市公司加大现金分红的基础 近年来 a股上市公司现金分红规模持续增长与公司整体业绩向好分不开 据统计 2013年至2017年 a股上市公司实现净利润总额高达13 77万亿元 累计现金分红4 47万亿元 按照整体法计算 整体派现率为32 46 证券日报	a股上市公司5年累计现金分红4 47万亿元 业绩增长是上市公司加大现金分红的基础 近年来 a股上市公司现金分红规模持续增长与公司整体业绩向好分不开 据统计 2013年至2017年 a股上市公司实现净利润总额高达13 77万亿元 累计现金分红4 47万亿元 按照整体法计算 整体派现率为32 46 证券日报	1
温氏股份 6月销售商品肉猪161 39万头 收入21 56亿元 销售均价11 58元 公斤 环比变动分别为 11 09 1 73 11 67 同比变动分别为6 23 11 60 15 16 相关融资标的 温氏股份 300498	温氏股份4日公告 2018年6月销售商品肉猪161 39万头 收入21 56亿元 销售均价11 58元 公斤 环比变动分别为 11 09 1 73 11 67 同比变动分别 为6 23 11 60 15 16	1
北京文化4日晚间公告 公司参与投资 发行的电影 我不是药神 将于2018年7月5日起在中国大陆地区公映	北京文化对于 我不是药神 来说是特殊的 不仅因为其是主投方之一 还是影片的主控宣发方 今年3月24日 北京文化公告披露将投资和宣发 我不是药神 宣发预算为不高于6000万元	0
永清环保 300187 将于2018年07月05日召开股东大会 会议审议事项为 关于重大资产重组延期复牌的议案	永清环保晚间发布公告 由于相关工作还在进展过程中 上述事项尚存在不确定性 为避免公司股价异常波动 切实维护投资者利益 经公司第四届董事会第六次会议审议通过 并向深圳证券交易所申请 公司股票自2018年6月9日起继续停牌 预计停牌不超过一个月 停牌期间 公司将根据重大资产重组的进展情况 及时履行信息披露义务 每五个交易日发布一次重大资产重组进展公告 待相关工作完成后召开董事会审议重大资产重组预案或草案 及时公告并复牌	0
截至22 06 中概股中 研控科技 乐居 绿润集团涨幅靠前 分别为9 15 5 52 5 00 兰亭集势 泰克飞石 华瑞国际跌幅居前 分别为 7 32 6 28 6 06	在大盘上扬带动下 中概股今日开盘普遍表现出色 凤凰新媒体开盘后大涨5 43 触及一个多月来的新高	0
据星球日报报道 近日 代币投资平台republic宣布完成了1200万美元的融资 由binance labs和neo global capital eco fund领投 其余参投方还包括真格基金 zk capital east chain co 等 同时 republic宣布将发行自己的代币 作为平台流通手段	金色财经 比特币7月4日讯 一个名为republic的零售加密投资平台最近宣布完成了一笔1200万美元的新一轮融资 旨在支持其平台代币化 并推出自己的证券型代币 本轮融资的领投方为binance labs和ngc eco fund 参投方包括zk capital oyster ventures fbg capital hazoor capital east chain 以及真格基金等	1
外交部发言人陆慷 中国商务部新闻发言人已经明确强调 中方已经做好准备 只要美方出台所谓的加征关税清单 中方将综合使用各种必要措施 坚定捍卫自己的国家利益和人民利益 我想这一表态中的逻辑关系已经很清楚了	财联社7月4日讯 财政部今日发布政务信息称 注意到日本 朝日新闻 关于 中国的 报复 行动将先于美国开始 的报道 就此 国务院关税税则委员会有关负责人表示 中国政府立场已多次申明 我们绝不会打第一枪 不会先于美国实施加征关税措施 同时 外交部发言人陆慷在今天主持的例行记者会上表示 只要美方出台所谓的加征关税清单 中方将综合使用各种必要措施 坚定捍卫自己的国家利益和人民利益 此外 对于 美光被禁止在华销售部分芯片产品 一事 陆慷回应称 这应当是一起有关知识产权保护的商业个案 与中美贸易摩擦没有必然联系 陆慷还表示 在上周刚刚结束的中欧经贸高层对话期间 双方在深化和扩大中欧经贸合作 支持并推动经济全球化方面达成了重要的共识 双方都认为必须坚决反对单边主义和贸易保护主义 以务实的举措推动双边经贸合作 共同维护以规则为基础的多边贸易体制	0
证监会今日接收关于瑞士嘉盛银行有限公司的 人民币境外机构投资者资格审批 相关材料 人民币境外机构投资者或再添一员	外媒 中国央行喊话后人民币创三个月最大涨幅 有海外投资者放弃继续做空 据彭博 中国央行官员打破对近期本币贬值走势的沉默后 人民币回升并收复重要心理关口 离岸人民币在纽约交易时段一度录得逾三个月来最大涨幅 美国一位知名的宏观策略师透露 已在6 7点位将原持有的人民币空仓平仓	0
柳钢股份4日公告 预计 2018 年上半年实现归属于上市公司股东的净利润与上年同期相比 法定披露数据 将增加15 65亿元到18 51亿元 同比增长 395 467	柳钢股份7月4日晚间公告 预计 2018 年上半年实现归属于上市公司股东的净利润与上年同期相比 将增加 15 65 亿元到 18 51 亿元 同比增长 395 到 467 公司表示 本次业绩大幅增长的原因 一是 2018 年上半年市场基本保持稳定 下游需求增加 公司钢材产品价格 销量较上年同期上涨 同时 公司降本增效成果显著 盈利能力得到提升 二是非经常性损益 1100 万元 主要是收到的政府补助	1
中国社会科学院财经战略研究院3日发布的宏观经济形势季度分析报告预计 2018年全年中国经济增长6 6 报告认为 上半年中国经济供给侧继续保持稳中有进态势 金融严监管配合稳健中性货币政策 货币供应稳中略降 预计2018年二季度及上半年经济增长6 7 比一季度略降0 1个百分点 中新网	社科院 预计2018年中国经济增长6 6 财联社7月3日讯 中国社会科学院财经战略研究院3日发布的宏观经济形势季度分析报告预计 2018年全年中国经济增长6 6 报告认为 上半年中国经济供给侧继续保持稳中有进态势 金融严监管配合稳健中性货币政策 货币供应稳中略降 预计2018年二季度及上半年经济增长6 7 比一季度略降0 1个百分点	1
雷科防务4日公告 全资子公司成为百度apollo生态合作伙伴	雷科防务7月4日公告 公司全资子公司北京理工雷科电子信息技术有限公司 下称 理工雷科 正式成为百度无人驾驶 apollo 阿波罗 计划 的生态合作伙伴	1
美国银行收跌1 77 花旗集团收跌1 64 摩根士丹利收跌1 47 摩根大通收跌1 4 富国银行收跌1 35 高盛收跌1 29 美国运通收跌1 17 股神 巴菲特旗下伯克希尔哈撒韦b类股和a类股分别收跌0 96 和0 63	继6月21日美国35家大型银行 占所有在美国经营银行总资产规模的80 第一阶段年度压力测试全部通关后 6月28日美联储公布的第二轮ccar 银行业综合资本分析审查监管体系 测试中 除德意志银行外 其余受试银行全部通关 当日 美国银行股全线飘红 美国银行 摩根大通均涨逾1 花旗 摩根士丹利涨逾2	0
兴全可转债基金经理张亚辉近期表示 在内外因素同时作用的情况下 可转债市场已反映了悲观预期 下半年大概率会有所修复 从今年新发行的可转债来看 公司转股意愿普遍较强 因此有动力下修转股价 而转股价下修也将导致可转债价格抬升 中证报	004年 市场上发行了第一只可转债基金 兴全可转债基金 目前规模达到31 17亿元 随后的几年里 由于可转债市场容量较小 可选标的不多 慢慢被市场边缘化	0
中国高端酒展览会组委会宣布 2018年第二届中国高端酒展览会将于8月8日在济南国际会展中心开幕 中国副食流通协会会长何继红表示 展会将促进高端酒业发展 助推酒业转型升级	中国高端酒展览会8月8日在济南开幕 财联社7月4日讯 中国高端酒展览会组委会宣布 2018年第二届中国高端酒展览会将于8月8日在济南国际会展中心开幕 中国副食流通协会会长何继红表示 展会将促进高端酒业发展 助推酒业转型升级	1
债券通官网发布的数据显示 债券通北向通正式开通一年以来 境外机构投资者入市数量以及交易规模均平稳增长 截至2018年6月末 共有497家境外机构申请参与债券通业务 其中已获得人民银行备案开展投资业务的有356家 境外非法人产品账户数量占56 境外商业银行占22 境外证券公司占8 按地区分布 涵盖了21个国家和地区 主要集中在中国香港 占约59 境外机构持有银行间债券市场的总额一直上升 连续15个月走高 截至今年5月底境外机构持债总量超过1 4万亿元人民币 较债券通启动前增加了70 证券日报	债券通 自去年7月3日运行以来 据其官网数据统计 境外机构持有银行间债券市场的总额一直上升 连续15个月走高 截至2018年5月末 境外机构持债总量超过1 4万亿元人民币 较 债券通 启动前增加了70 随着境外投资者积极入市以及境外机构持有银行间债券市场总额持续上升 相关制度的完善也成了业内关注的焦点	0
南京新百将于2018年07月06日解禁1066 42万股 占总股本比例0 96	股市最新消息 南京新百今日解禁1066 4229万股_股票内参平台_云财经股票内参平台 了解最新股市动向 关注云财经	1
据北京市智能车联产业创新中心工作人员介绍 目前在北京经济技术开发区 顺义区和海淀区确定了33条共计105公里的首批开放测试道路 北京也是目前国内开放测试道路里程最长的城市 自动驾驶车辆已累计安全行驶26000公里 北京也是国内首个要求无人驾驶企业在封闭场地内训练满5000公里后再参加能力评估考试的城市 北京青年报	自动驾驶技术离我们的日常生活正越来越近 自从前年6月国内第一个 国家智能网联汽车 上海 试点示范区 封闭测试区在位于嘉定的上海国际汽车城启动以来 自动驾驶技术在上海发展迅速 两年来封闭测试区已完成了200多个测试场景建设 累计为40多家企业提供450余天次 超过5000小时的测试服务 今年3月	0
针对部分城市楼市异常升温与长期炒房积弊 近日住建部会同中宣部 公安部 银保监会等七部委决定于2018年7月初至12月底 在北京 上海 天津 深圳等30个城市先行开展治理房地产市场乱象专项行动 坚决打击投机炒房 房地产 黑中介 房地产开发企业违法违规 虚假房地产广告等行为 将会很大程度矫正当前楼市的不合理预期 促进房地产市场稳健运行	经参头版评论 治理乱象将矫正楼市预期 财联社7月4日讯 新华社主管报纸经济参考报头版评论称 房地产业固然重要 但当前我国经济金融基本面已经不支持住宅超出社会平均的投资价值 即使这样 部分城市还有不少人至今仍热衷于住宅投机炒作 这些房地产市场乱象明显偏离了房住不炒的政策定位 扭曲供求关系 推高住房价格吹大房地产泡沫 加剧系统性金融风险聚集 引发市场预期混乱 因此 七部委协调步骤共同治理部分城市房地产乱象 就是明确剑指当前房地产市场存在的各种不守规矩的利益群体 就是立即切断可能引发房地产市场预期突变的反馈环 就是要坚决矫正房地产市场预期	1
比亚迪4日在互动平台表示 目前公司所用锂盐为对外采购	重磅 长安汽车与比亚迪宣布成立合资公司	0
中美贸易关税第一次交手时间临近 近期市场开始逐渐体现出来 普跌行情下 市场避险情绪逐渐增加 黄金板块更是逆势大涨 西部黄金 赤峰黄金涨停 作为本次交锋的农产品 宏辉果蔬再次成为农产品的领头羊 尾盘涨停 昨日板块集体拉升的5g科技股 今日仅几只龙头延续市场行情 邦讯技术五连板 阿石创二连板涨停 欢乐海岸杀入的欣锐科技今日早盘被顶涨停 午后跳水 尾盘跌停 日内地天板振幅20	临近午盘 贸易摩擦概念股再度拉升 中农立华直线拉升封涨停 宏辉果蔬涨5 傲农生物 万向德农 农发种业 登海种业均纷纷冲高	0
comex 8月黄金期货收涨11 80美元 涨幅大约1 0 报1253 50美元 盎司 7月2日以1241 70美元 盎司创2017年12月21日以来主力合约收盘最低位 comex 9月白银期货收涨1 3 报16 043美元 盎司 7月2日以15 835美元 盎司创2017年12月中期以来收盘最低位 nymex 10月铂金期货收涨32 90美元 涨幅4 0 报846 30美元 盎司 7月2日以813 40美元 盎司创2008年12月份以来主力合约收盘最低位 nymex 9月钯金期货收涨0 4 报938 00美元 盎司	财联社7月5日早间新闻精选 宏观新闻 1 李克强7月4日主持召开国务院常务会议 确定进一步扩大科研人员自主权的措施等 comex黄金期货收涨0 37 报1258 1美元 盎司 连涨两日 创近两周新高 因美元汇率下跌 nymex原油期货收涨0 26 报74 33美元 桶 美国原油库存下降 伊朗局势依然紧张 这些因素继续支撑油价	0
下半年的波动性肯定还是很大 所以尽量用多元化配置来规避这方面风险 未来12 18个月内 还不是 现金为王 的时候 因为全球经济依然处于增长之中 总体还是超配环球股票 一些增长较快的地区 包括新兴市场和亚洲股票 还是我们的配置重点 接着就要以固定收益资产去做一些对冲 美元可能会在下半年开始疲软 这将给一些新兴市场资产创造机会	近日 深交所发布 2017年度深圳证券交易所股票市场绩效报告 报告显示 2017年深圳股票市场的市场绩效继续保持较高水平 市场总体运行稳定 市场流动性处于良好水平 市场波动性明显下降 主板 中小板 创业板波动性依次递增 价格有效性 订单执行质量和执行效率均处于较高水平	0
东华软件7月4日晚间上修业绩预告 预计公司2018年上半年净利润3 2亿元 3 8亿元 同比下滑48 38 公司因上年同期出售其所持有的北京东方通科技股权 取得投资收益 导致公司上年同期业绩基数较高	设研院上修业绩预告 预计2017年盈利增长55 85 财联社1月23日讯 设研院上修业绩预告 预计2017年盈利2 01亿元 2 4亿元 同比增长55 85 此前预计增长35 42 71 2017年河南省交通基础设施投资较上年进一步提高 公司在省外市场的拓展亦卓有成效 第四季度实现收入及利润超出预期	0
日前 百度 sb drive 金龙客车达成战略合作 三方将合力开发日本版 apolong 阿波龙 并计划2019年初期 将从中国进口包含测试用车在内的10台 apolong 阿波龙 据悉 百度国际事业部将推动搭载百度自动驾驶系统平台apollo的自动驾驶巴士出口日本 并推进以日本国内公共道路行驶为目的的相关业务落地	签约仪式上 百度与金龙客车一起揭晓了金龙客车第二代无人驾驶微循环车的神秘面纱 它将解决公共交通未覆盖的 最后一公里 的出行问题 双方合作研发的这款无人驾驶微循环车可实现特定场景下的完全无人驾驶 并计划在2018年7月底实现小规模量产及试运营	0
国家集成电路创新中心 国家智能传感器创新中心3日在上海正式启动 国家集成电路创新中心瞄准集成电路关键共性技术 着力解决中国集成电路主流技术方向选择和可靠技术来源问题 国家智能传感器创新中心以关键共性技术的研发和中试为目标 专注传感器设计集成技术 先进制造及封测工艺 布局传感器新材料 新工艺 新器件和物联网应用方案等领域 相关融资标的 紫光国微 002049 sz 华天科技 002185 sz 上海贝岭 600171 sh 士兰微 600460 sh 长电科技 600584 sh	罗文指出 集成电路和智能传感器这两个产业都是关系制造业发展全局和国家经济安全的基础性 先导性和战略性产业 也是各国抢占科技制高点 提升综合国力的关键领域 建设制造业创新中心 不仅是集成电路和智能传感器两个领域创新发展的一个新平台 也是应对新一轮科技和产业革命的新举措 更是抢占产业竞争制高点的新手段	0
摩根大通房地产分析师李洛衡等人在研报中写道 市场对近期的负面消息 反应过度 估计中国房地产投资2018年将增长7 2	摩根大通最新预测称 在势不可挡的汽车电动化浪潮中 未来3到5年 中国将轻松维持其全球最大的电动车制造商的主导地位 不仅2020年电动车销量将占据全球半壁江山 中国电动车产量的增长 也将对上游金属矿产业带来需求增长的利好	0
连续5个月登上房企销售额榜首的碧桂园正在改变扩张策略 为缓解融资政策收紧带来的压力 试图牺牲规模甚至利润 以保证现金流 近期 来自碧桂园内部的知情人士透露 全覆盖 在内部已经明确叫停 暂不对外宣扬 其口中所谓 全覆盖 战略是指在三四五线城市所有的县城 甚至是发达的镇区均需有碧桂园的项目 澎湃	上半年房地产市场政策环境趋紧 企业之间业绩规模深度分化 近日 中国指数研究院发布的统计数据显示 2018年上半年 共有138家房地产企业销售额超过50亿元 较去年增加12家 合计实现销售额49743亿元 同比增长25 6 市场份额提升15 2个百分点达到76 4 行业集中度进一步提升 上半年 伴随城市群产业吸聚效应释放 部分二线及三四线市场需求快速释放 一些大型房企加大推盘力度 实现销售额与销售面积双增长 其中 中间梯队业绩增长最为迅猛 分阵营来看 企业之间强者愈强态势更加明显 中指院数据显示 上半年业绩达到1000亿元以上的企业共七家 销售额增速为32 5 规模化优势持续凸显 其中 碧桂园 恒大 万科分别突破4000亿元 3000亿元 3000亿元大关 逐步拉大与其他企业的差距 行业寡头逐步形成	0
近日欧盟官员称 中国正向欧盟施压 要求双方在即将举行的中欧峰会上就反对美国总统特朗普的贸易政策发表联合声明 而欧盟拒绝了这一提议 发言人陆慷回应说 中欧在扩大经贸合作和共同推动经济全球化方面已达成重要共识 并会通过两大经济体间的对话向世界贡献正能量 环球网	近日有欧盟官员称 中国正向欧盟施压 要求双方在即将举行的中欧峰会上就反对美国总统特朗普的贸易政策发表联合声明 而欧盟方面拒绝了这一提议	1
昨日 大盘探底出现反弹 市场底部是否已经出现 证券时报经多方采访了解到 作为市场上最重要的机构投资者之一 保险机构的看法相对乐观 受访的大中小型保险公司人士普遍认为 近期的下跌令市场恐慌情绪得以释放 投资者不必过于悲观 不过 现在预测市场已经见底还为时尚早 市场底部需要在反复确认中 磨 出来 但如果将周期拉长至未来3 5年看 目前或许已处在底部区域 证券时报	大盘探底反弹 保险机构对股市谨慎乐观 财联社7月4日讯 昨日 大盘探底出现反弹 市场底部是否已经出现 作为市场上最重要的机构投资者之一 保险机构的看法相对乐观 受访的大中小型保险公司人士普遍认为 近期的下跌令市场恐慌情绪得以释放 投资者不必过于悲观 不过 现在预测市场已经见底还为时尚早	1
美股尾盘跳水全线收跌 标普500指数收跌0 49 报2713 22点 道指收跌0 54 报24174 82点 纳指收跌0 86 报7502 67点	美股尾盘跳水全线收 跌纳指跌近1 特斯拉股价重挫逾7 美东时间周二 美股尾盘跳水全线收跌 科技股跌幅居前 拖累纳指跌近1 值得关注的是 摩根大通重申了对特斯拉股票的 减持 评级 特斯拉股价收盘重挫逾7	1
业内人士表示 6月下旬以来 从中央到地方 对房地产市场展开新动作 值得注意的是 从调控方式 范围和调控重心来看 打击遏制投机炒作之风 成为央地新一轮调控 组合拳 的发力点 经济参考报	财联社7月4日讯 2016年中国开始新一轮的去杠杆防风险 现在已经逐渐进入深水区 此前一直以为 民营资本是本次去杠杆相对影响较大的 但实际上 央企正逐渐感受到了同样的压力 据不完全统计 整个6月 包括中核 中航 神华 国家电网等在内的14家央企开始密集转让旗下的地产项目 进入7月 名单可能还会迅速增加	0
华盛顿邮报周一报道称 美国司法部正在扩大对facebook数据业务的调查 联邦调查局 sec和联邦贸易委员会现在都参与其中 根据high capital markets 在调查中增加三个联邦机构并不一定会扩大对facebook的实质性影响 该机构理解是 facebook在数据处理方面没有违反任何美国法律 但这并不意味着该公司不会受到额外的罚款 facebook可能违反了与联邦贸易委员会达成的协议条款 因此我们预计联邦贸易委员会将对该公司处以大约50亿美元的罚款 high capital markets分析师称	今年以来 在中央 房住不炒 的调控精神指导下 多地因城施策 分类调控政策频出 特别是近一段时间 部分城市楼市出现过热苗头 投机炒作有所抬头 引起了中央政府的高度重视 在住建部及时约谈了12个城市 再次重申调控力度不放松并出台6大调控措施后 多地调控再次密集加码 进一步封堵炒房 漏洞	0
德国dax指数7月4日 周三 收盘下跌27 44点 跌幅0 22 报12321 70点 英国富时100指数7月4日 周三 收盘下跌20 54点 跌幅0 27 报7572 75点 法国cac40指数7月4日 周三 收盘上涨3 74点 涨幅0 07 报5320 50点 西班牙ibex35指数7月4日 周三 收盘上涨93 10点 涨幅0 96 报9754 00点 意大利富时指数7月4日 周三 收盘下跌75 66点 跌幅0 35 报21688 50点	欧股小幅低开 财联社7月4日讯 德国dax指数跌0 16 报12349 14点 英国富时100指数跌0 29 报7593 29点 法国cac40指数跌0 07 报5316 76点	0
多位券商人士4日确认 对于7月1号以后申报的再融资项目 要求发行人的财务数据更新到6月30日 意味着再融资项目申报审批的流程将再次延长 财汇大数据终端统计 截至7月4日 上市公司增发募资金额4705 22亿元 仅有去年全年三分之一左右 可转债发行金额639 47亿元 可交换债发行金额516 10亿元 同比增速都大大不及去年 债券融资也相对困难 市场对中低等级信用债态度谨慎 发行人评级中枢明显上移 中国证券报	对于目前冷清的再融资市场 监管层又作出最新窗口指导 知情人士透露 对于7月1号以后申报的再融资项目 要求发行人的财务数据更新到6月30日 之前只要更新至上一个会计年度 一位投行人士表示 虽然只是提交未经审计的半年报 但工作量也着实不小 他感慨 这无疑增大了申报再融资的工作量 延缓了市场的再融资进程 一位接近证监会的人士透露 该窗口指导主要目的是顺应目前严监管的需要 及时摸清发行人的财务状况 提高发行人的再融资项目质量 按照他的预测 如果发行人要更新半年报 其项目在9月份之前都未必能报上来 虽然只是提交未经审计的半年报 但工作量也着实不小 他带来的结果确实是延缓了整个再融资市场的申请进度 目前整个a股市场波动比较大 延缓申请带来的结果是 减少了再融资对于市场流动性的抽血效应 根据统计 按发行日计 2018年上半年股权再融资 增发 配股 优先股 可转债 可交换债 总计募资4151亿元 同比减少约13 7 其中 上半年增发募资约3290亿元 同比减少20 而可转债和可交债合计募资约759亿元 同比增加近30 优先股没有募资项目完成	0
近年来 游戏行业公司今年来开始扎堆转道赴港首次公开募股 ipo 在2017年底游莱互动在香港上市之后 2018年上半年又有5家游戏公司赴港ipo 其中还包括今年3月主动从a股撤回ipo的多益网络 统计显示 目前仍在a股排队ipo的游戏公司为8家 分别是四三九九 蜗牛数字 波克城市 米哈游 趣炫网络 柠檬微趣 乐元素与华清飞扬 其中排队时间最长的是四三九九 从2014年12月19日开始排队至今已经三年多 最晚的则是华清飞扬 2018年3月30日才刚预先披露 至今仅3个多月 证券时报	2018年 游戏公司对资本市场上的态度也悄然生变 近10家游戏企业仍在坚持排队 不少游戏公司已经转战港股 相比资本退出的急迫 游戏公司更大的难题来自业务本身的突围焦虑 曾经一个品质稍微用心的游戏便可以收割大批用户 而如今即便是精品 也需要杀出一条血路才能生存 黄金红利期排队来 排队走 吃尽了人口红利 吃ip红利 ip红利将尽 吃流量红利 而现在人口红利 ip红利 流量红利都要耗尽了 游戏产业的出路是什么	0
3日晚间 一则 陆金所代销的某资管计划产品已停止付息 的消息在市场流传 4日 经了解到 这款名为 大同证券同吉8号集合资产管理计划 的产品 确实存在因底层借款人 上市公司东方金钰相关银行账户被冻结 而出现2018年第二季度利息兑付逾期的情况 对此 代销机构陆金所方面负责人表示 该产品涉及上海陆金所基金销售有限公司 陆金所子公司 60位投资人 代销金额共7793万元 相关融资标的 东方金钰 600086 腾讯一线	中国经济网编者按 陆金所代销再次 踩雷 近日 陆金所代销的 大同证券同吉8号集合资产管理计划 出现2018年二季度利息兑付逾期的情况 据悉 该产品涉及陆金所旗下基金销售平台陆基金60位投资人 代销金额共7793万元 上述逾期的资管计划底层资产为上市公司东方金钰的贷款项目 东方金钰目前不能按时付息 据了解主要是和一家小贷公司的合同纠纷有关 部分资产被冻结 导致现金流比较紧张 到期利息无法支付	1
美国数字加密货币安全公司ciphertrace今日发布报告称 今年上半年全球数字加密货币交易所频繁遭到黑客攻击 报告显示 今年前六个月 全球数字加密货币交易所共有价值7 61亿美元的数字加密货币被黑客窃取 相比之下 整个2017年的损失额也不过2 66亿美元 ciphertrace预计 今年的整体损失有望达到15亿美元	facebook将再次允许发布涉及加密货币的广告 财联社6月27日讯 曾在1月宣布禁止宣传与加密货币有关的金融产品和服务广告后 facebook周二宣布将再次允许发布此类广告 但仍将禁止二元期权和首次代币发行的广告 华尔街日报	0
美国总统特朗普发布关于欧佩克和油价的推特更容易让市场担忧并给油价带来上行压力 随着美国11月中期选举来临 特朗普已经就此发了三条推特 其旨在要求世界上所有剩余的闲置产能立即上线 最近的一条推特暗示美国的政策是依靠沙特闲置产能来弥补全球原油供应缺口 如果其推特被采纳为政策 意味着美国希望沙特增产200万桶 日 但是 实际增产量在短期内可能仅仅超过70万桶 日	特朗普发推特警告欧佩克 立即降价 财联社7月5日讯 美国总统特朗普周三在推特上抨击欧佩克成员国推高油价 称欧佩克需要对油价采取更多行动 并将这一问题与美国在许多欧佩克成员国的军事存在联系起来 特朗普在推特上写道 欧佩克垄断组织必须记住 油价正在上涨 而他们几乎没有提供什么帮助 如果说有什么不同的话	0
